Time resolution is 1 ps
Time=0, REC=         0, RPM=         0, State=00
Testing forward progression...
Time=25000, REC=         0, RPM=   2500000, State=00
Time=75000, REC=         1, RPM=   2500000, State=10
Time=125000, REC=         2, RPM=   2500000, State=11
Time=145000, REC=         2, RPM=   1250000, State=11
Time=175000, REC=         3, RPM=   1250000, State=01
Time=205000, REC=         3, RPM=    833333, State=01
Testing reverse progression...
Time=225000, REC=         4, RPM=    833333, State=00
Time=265000, REC=         4, RPM=    625000, State=00
Time=275000, REC=         3, RPM=    625000, State=01
Time=325000, REC=         2, RPM=    625000, State=11
Time=335000, REC=         2, RPM=   2500000, State=11
Time=375000, REC=         1, RPM=   2500000, State=10
Time=395000, REC=         1, RPM=   1250000, State=10
Testing negative overflow...
Time=425000, REC=         0, RPM=   1250000, State=00
Time=455000, REC=         0, RPM=    833333, State=00
Time=475000, REC=4294967295, RPM=    833333, State=01
Time=515000, REC=4294967295, RPM=    625000, State=01
Time=525000, REC=4294967294, RPM=    625000, State=11
Time=575000, REC=4294967293, RPM=    625000, State=10
Time=585000, REC=4294967293, RPM=   2500000, State=10
Testing various clock pulse lengths to validate rpm...
Time=625000, REC=4294967292, RPM=   2500000, State=00
Time=645000, REC=4294967292, RPM=   1250000, State=00
Time=695000, REC=4294967292, RPM=    416666, State=00
Time=745000, REC=4294967292, RPM=    250000, State=00
Time=795000, REC=4294967292, RPM=    178571, State=00
Time=845000, REC=4294967292, RPM=    138888, State=00
Time=895000, REC=4294967292, RPM=    113636, State=00
Time=945000, REC=4294967292, RPM=     96153, State=00
Time=995000, REC=4294967292, RPM=     83333, State=00
Time=1045000, REC=4294967292, RPM=     73529, State=00
Time=1095000, REC=4294967292, RPM=     65789, State=00
Time=1145000, REC=4294967292, RPM=     59523, State=00
Time=1195000, REC=4294967292, RPM=     54347, State=00
Time=1245000, REC=4294967292, RPM=     50000, State=00
Time=1295000, REC=4294967292, RPM=     46296, State=00
Time=1345000, REC=4294967292, RPM=     43103, State=00
Time=1395000, REC=4294967292, RPM=     40322, State=00
Time=1445000, REC=4294967292, RPM=     37878, State=00
Time=1495000, REC=4294967292, RPM=     35714, State=00
Time=1545000, REC=4294967292, RPM=     33783, State=00
Time=1595000, REC=4294967292, RPM=     32051, State=00
Time=1645000, REC=4294967292, RPM=     30487, State=00
Time=1695000, REC=4294967292, RPM=     29069, State=00
Time=1745000, REC=4294967292, RPM=     27777, State=00
Time=1795000, REC=4294967292, RPM=     26595, State=00
Time=1845000, REC=4294967292, RPM=     25510, State=00
Time=1895000, REC=4294967292, RPM=     24509, State=00
Time=1945000, REC=4294967292, RPM=     23584, State=00
Time=1995000, REC=4294967292, RPM=     22727, State=00
Time=2045000, REC=4294967292, RPM=     21929, State=00
Time=2095000, REC=4294967292, RPM=     21186, State=00
Time=2145000, REC=4294967292, RPM=     20491, State=00
Time=2195000, REC=4294967292, RPM=     19841, State=00
Time=2245000, REC=4294967292, RPM=     19230, State=00
Time=2295000, REC=4294967292, RPM=     18656, State=00
Time=2345000, REC=4294967292, RPM=     18115, State=00
Time=2395000, REC=4294967292, RPM=     17605, State=00
Time=2445000, REC=4294967292, RPM=     17123, State=00
Time=2495000, REC=4294967292, RPM=     16666, State=00
Time=2545000, REC=4294967292, RPM=     16233, State=00
Time=2595000, REC=4294967292, RPM=     15822, State=00
Time=2645000, REC=4294967292, RPM=     15432, State=00
Time=2695000, REC=4294967292, RPM=     15060, State=00
Time=2745000, REC=4294967292, RPM=     14705, State=00
Time=2795000, REC=4294967292, RPM=     14367, State=00
Time=2845000, REC=4294967292, RPM=     14044, State=00
Time=2895000, REC=4294967292, RPM=     13736, State=00
Time=2945000, REC=4294967292, RPM=     13440, State=00
Time=2995000, REC=4294967292, RPM=     13157, State=00
Time=3045000, REC=4294967292, RPM=     12886, State=00
Time=3095000, REC=4294967292, RPM=     12626, State=00
Time=3145000, REC=4294967292, RPM=     12376, State=00
Time=3195000, REC=4294967292, RPM=     12135, State=00
Time=3245000, REC=4294967292, RPM=     11904, State=00
Time=3295000, REC=4294967292, RPM=     11682, State=00
Time=3345000, REC=4294967292, RPM=     11467, State=00
Time=3395000, REC=4294967292, RPM=     11261, State=00
Time=3445000, REC=4294967292, RPM=     11061, State=00
Time=3495000, REC=4294967292, RPM=     10869, State=00
Time=3545000, REC=4294967292, RPM=     10683, State=00
Time=3595000, REC=4294967292, RPM=     10504, State=00
Time=3645000, REC=4294967292, RPM=     10330, State=00
Time=3695000, REC=4294967292, RPM=     10162, State=00
Time=3745000, REC=4294967292, RPM=     10000, State=00
Time=3795000, REC=4294967292, RPM=      9842, State=00
Time=3845000, REC=4294967292, RPM=      9689, State=00
Time=3895000, REC=4294967292, RPM=      9541, State=00
Time=3945000, REC=4294967292, RPM=      9398, State=00
Time=3995000, REC=4294967292, RPM=      9259, State=00
Time=4045000, REC=4294967292, RPM=      9124, State=00
Time=4095000, REC=4294967292, RPM=      8992, State=00
Time=4145000, REC=4294967292, RPM=      8865, State=00
Time=4195000, REC=4294967292, RPM=      8741, State=00
Time=4245000, REC=4294967292, RPM=      8620, State=00
Time=4295000, REC=4294967292, RPM=      8503, State=00
Time=4345000, REC=4294967292, RPM=      8389, State=00
Time=4395000, REC=4294967292, RPM=      8278, State=00
Time=4445000, REC=4294967292, RPM=      8169, State=00
Time=4495000, REC=4294967292, RPM=      8064, State=00
Time=4545000, REC=4294967292, RPM=      7961, State=00
Time=4595000, REC=4294967292, RPM=      7861, State=00
Time=4645000, REC=4294967292, RPM=      7763, State=00
Time=4695000, REC=4294967292, RPM=      7668, State=00
Time=4745000, REC=4294967292, RPM=      7575, State=00
Time=4795000, REC=4294967292, RPM=      7485, State=00
Time=4845000, REC=4294967292, RPM=      7396, State=00
Time=4895000, REC=4294967292, RPM=      7309, State=00
Time=4945000, REC=4294967292, RPM=      7225, State=00
Time=4995000, REC=4294967292, RPM=      7142, State=00
Time=5045000, REC=4294967292, RPM=      7062, State=00
Time=5095000, REC=4294967292, RPM=      6983, State=00
Time=5145000, REC=4294967292, RPM=      6906, State=00
Time=5195000, REC=4294967292, RPM=      6830, State=00
Time=5245000, REC=4294967292, RPM=      6756, State=00
Time=5295000, REC=4294967292, RPM=      6684, State=00
Time=5345000, REC=4294967292, RPM=      6613, State=00
Time=5395000, REC=4294967292, RPM=      6544, State=00
Time=5445000, REC=4294967292, RPM=      6476, State=00
Time=5495000, REC=4294967292, RPM=      6410, State=00
Time=5545000, REC=4294967292, RPM=      6345, State=00
Time=5595000, REC=4294967292, RPM=      6281, State=00
Time=5645000, REC=4294967292, RPM=      6218, State=00
Time=5695000, REC=4294967292, RPM=      6157, State=00
Time=5745000, REC=4294967292, RPM=      6097, State=00
Time=5795000, REC=4294967292, RPM=      6038, State=00
Time=5845000, REC=4294967292, RPM=      5980, State=00
Time=5895000, REC=4294967292, RPM=      5924, State=00
Time=5945000, REC=4294967292, RPM=      5868, State=00
Time=5995000, REC=4294967292, RPM=      5813, State=00
Time=6045000, REC=4294967292, RPM=      5760, State=00
Time=6095000, REC=4294967292, RPM=      5707, State=00
Time=6145000, REC=4294967292, RPM=      5656, State=00
Time=6195000, REC=4294967292, RPM=      5605, State=00
Time=6245000, REC=4294967292, RPM=      5555, State=00
Time=6295000, REC=4294967292, RPM=      5506, State=00
Time=6345000, REC=4294967292, RPM=      5458, State=00
Time=6395000, REC=4294967292, RPM=      5411, State=00
Time=6445000, REC=4294967292, RPM=      5364, State=00
Time=6495000, REC=4294967292, RPM=      5319, State=00
Time=6545000, REC=4294967292, RPM=      5274, State=00
Time=6595000, REC=4294967292, RPM=      5230, State=00
Time=6645000, REC=4294967292, RPM=      5186, State=00
Time=6695000, REC=4294967292, RPM=      5144, State=00
Time=6745000, REC=4294967292, RPM=      5102, State=00
Time=6795000, REC=4294967292, RPM=      5060, State=00
Time=6845000, REC=4294967292, RPM=      5020, State=00
Time=6895000, REC=4294967292, RPM=      4980, State=00
Time=6945000, REC=4294967292, RPM=      4940, State=00
Time=6995000, REC=4294967292, RPM=      4901, State=00
Time=7045000, REC=4294967292, RPM=      4863, State=00
Time=7095000, REC=4294967292, RPM=      4826, State=00
Time=7145000, REC=4294967292, RPM=      4789, State=00
Time=7195000, REC=4294967292, RPM=      4752, State=00
Time=7245000, REC=4294967292, RPM=      4716, State=00
Time=7295000, REC=4294967292, RPM=      4681, State=00
Time=7345000, REC=4294967292, RPM=      4646, State=00
Time=7395000, REC=4294967292, RPM=      4612, State=00
Time=7445000, REC=4294967292, RPM=      4578, State=00
Time=7495000, REC=4294967292, RPM=      4545, State=00
Time=7545000, REC=4294967292, RPM=      4512, State=00
Time=7595000, REC=4294967292, RPM=      4480, State=00
Time=7645000, REC=4294967292, RPM=      4448, State=00
Time=7695000, REC=4294967292, RPM=      4416, State=00
Time=7745000, REC=4294967292, RPM=      4385, State=00
Time=7795000, REC=4294967292, RPM=      4355, State=00
Time=7845000, REC=4294967292, RPM=      4325, State=00
Time=7895000, REC=4294967292, RPM=      4295, State=00
Time=7945000, REC=4294967292, RPM=      4266, State=00
Time=7995000, REC=4294967292, RPM=      4237, State=00
Time=8045000, REC=4294967292, RPM=      4208, State=00
Time=8095000, REC=4294967292, RPM=      4180, State=00
Time=8145000, REC=4294967292, RPM=      4152, State=00
Time=8195000, REC=4294967292, RPM=      4125, State=00
Time=8245000, REC=4294967292, RPM=      4098, State=00
Time=8295000, REC=4294967292, RPM=      4071, State=00
Time=8345000, REC=4294967292, RPM=      4045, State=00
Time=8395000, REC=4294967292, RPM=      4019, State=00
Time=8445000, REC=4294967292, RPM=      3993, State=00
Time=8495000, REC=4294967292, RPM=      3968, State=00
Time=8545000, REC=4294967292, RPM=      3943, State=00
Time=8595000, REC=4294967292, RPM=      3918, State=00
Time=8645000, REC=4294967292, RPM=      3894, State=00
Time=8695000, REC=4294967292, RPM=      3869, State=00
Time=8745000, REC=4294967292, RPM=      3846, State=00
Time=8795000, REC=4294967292, RPM=      3822, State=00
Time=8845000, REC=4294967292, RPM=      3799, State=00
Time=8895000, REC=4294967292, RPM=      3776, State=00
Time=8945000, REC=4294967292, RPM=      3753, State=00
Time=8995000, REC=4294967292, RPM=      3731, State=00
Time=9045000, REC=4294967292, RPM=      3709, State=00
Time=9095000, REC=4294967292, RPM=      3687, State=00
Time=9145000, REC=4294967292, RPM=      3665, State=00
Time=9195000, REC=4294967292, RPM=      3644, State=00
Time=9245000, REC=4294967292, RPM=      3623, State=00
Time=9295000, REC=4294967292, RPM=      3602, State=00
Time=9345000, REC=4294967292, RPM=      3581, State=00
Time=9395000, REC=4294967292, RPM=      3561, State=00
Time=9445000, REC=4294967292, RPM=      3541, State=00
Time=9495000, REC=4294967292, RPM=      3521, State=00
Time=9545000, REC=4294967292, RPM=      3501, State=00
Time=9595000, REC=4294967292, RPM=      3481, State=00
Time=9645000, REC=4294967292, RPM=      3462, State=00
Time=9695000, REC=4294967292, RPM=      3443, State=00
Time=9745000, REC=4294967292, RPM=      3424, State=00
Time=9795000, REC=4294967292, RPM=      3405, State=00
Time=9845000, REC=4294967292, RPM=      3387, State=00
Time=9895000, REC=4294967292, RPM=      3369, State=00
Time=9945000, REC=4294967292, RPM=      3351, State=00
Time=9995000, REC=4294967292, RPM=      3333, State=00
Time=10045000, REC=4294967292, RPM=      3315, State=00
Time=10095000, REC=4294967292, RPM=      3298, State=00
Time=10145000, REC=4294967292, RPM=      3280, State=00
Time=10195000, REC=4294967292, RPM=      3263, State=00
Time=10245000, REC=4294967292, RPM=      3246, State=00
Time=10295000, REC=4294967292, RPM=      3229, State=00
Time=10345000, REC=4294967292, RPM=      3213, State=00
Time=10395000, REC=4294967292, RPM=      3196, State=00
Time=10445000, REC=4294967292, RPM=      3180, State=00
Time=10495000, REC=4294967292, RPM=      3164, State=00
Time=10545000, REC=4294967292, RPM=      3148, State=00
Time=10595000, REC=4294967292, RPM=      3132, State=00
Time=10645000, REC=4294967292, RPM=      3117, State=00
Time=10695000, REC=4294967292, RPM=      3101, State=00
Time=10745000, REC=4294967292, RPM=      3086, State=00
Time=10795000, REC=4294967292, RPM=      3071, State=00
Time=10845000, REC=4294967292, RPM=      3056, State=00
Time=10895000, REC=4294967292, RPM=      3041, State=00
Time=10945000, REC=4294967292, RPM=      3026, State=00
Time=10995000, REC=4294967292, RPM=      3012, State=00
Time=11045000, REC=4294967292, RPM=      2997, State=00
Time=11095000, REC=4294967292, RPM=      2983, State=00
Time=11145000, REC=4294967292, RPM=      2969, State=00
Time=11195000, REC=4294967292, RPM=      2955, State=00
Time=11245000, REC=4294967292, RPM=      2941, State=00
Time=11295000, REC=4294967292, RPM=      2927, State=00
Time=11345000, REC=4294967292, RPM=      2913, State=00
Time=11395000, REC=4294967292, RPM=      2900, State=00
Time=11445000, REC=4294967292, RPM=      2886, State=00
Time=11495000, REC=4294967292, RPM=      2873, State=00
Time=11545000, REC=4294967292, RPM=      2860, State=00
Time=11595000, REC=4294967292, RPM=      2847, State=00
Time=11645000, REC=4294967292, RPM=      2834, State=00
Time=11695000, REC=4294967292, RPM=      2821, State=00
Time=11745000, REC=4294967292, RPM=      2808, State=00
Time=11795000, REC=4294967292, RPM=      2796, State=00
Time=11845000, REC=4294967292, RPM=      2783, State=00
Time=11895000, REC=4294967292, RPM=      2771, State=00
Time=11945000, REC=4294967292, RPM=      2759, State=00
Time=11995000, REC=4294967292, RPM=      2747, State=00
Time=12045000, REC=4294967292, RPM=      2735, State=00
Time=12095000, REC=4294967292, RPM=      2723, State=00
Time=12145000, REC=4294967292, RPM=      2711, State=00
Time=12195000, REC=4294967292, RPM=      2699, State=00
Time=12245000, REC=4294967292, RPM=      2688, State=00
Time=12295000, REC=4294967292, RPM=      2676, State=00
Time=12345000, REC=4294967292, RPM=      2665, State=00
Time=12395000, REC=4294967292, RPM=      2653, State=00
Time=12445000, REC=4294967292, RPM=      2642, State=00
Time=12495000, REC=4294967292, RPM=      2631, State=00
Time=12545000, REC=4294967292, RPM=      2620, State=00
Time=12595000, REC=4294967292, RPM=      2609, State=00
Time=12645000, REC=4294967292, RPM=      2598, State=00
Time=12695000, REC=4294967292, RPM=      2587, State=00
Time=12745000, REC=4294967292, RPM=      2577, State=00
Time=12795000, REC=4294967292, RPM=      2566, State=00
Time=12845000, REC=4294967292, RPM=      2556, State=00
Time=12895000, REC=4294967292, RPM=      2545, State=00
Time=12945000, REC=4294967292, RPM=      2535, State=00
Time=12995000, REC=4294967292, RPM=      2525, State=00
Time=13045000, REC=4294967292, RPM=      2515, State=00
Time=13095000, REC=4294967292, RPM=      2505, State=00
Time=13145000, REC=4294967292, RPM=      2495, State=00
Time=13195000, REC=4294967292, RPM=      2485, State=00
Time=13245000, REC=4294967292, RPM=      2475, State=00
Time=13295000, REC=4294967292, RPM=      2465, State=00
Time=13345000, REC=4294967292, RPM=      2455, State=00
